year_,fire_name,alarm_date,cause,gis_acres,shape_area,cause_desc
2007,YOKHOL,2007-07-15,14,77.2032241821289,312430.376778019,Unknown/Unidentified
2007,CANYON,2007-07-23,9,84.723747253418,342864.84716579,Miscellaneous
2007,DAWSON,2007-05-08,9,960.7296752929691,3887934.93994777,Miscellaneous
2007,ALTA MESA,2007-09-14,9,70.1841506958008,284025.195355308,Miscellaneous
2007,BARRETT,2007-09-24,11,21.030239105224602,85106.3611794109,Power Line
2007,KINGSTON#1,2007-08-26,1,186.809020996094,755989.2637669741,Lightning
2007,POWER HOUSE,2007-08-18,10,45.799530029296896,185344.12151973302,Vehicle
2007,LIBERTY,2007-06-15,4,3.4283111095428502,13873.8829795907,Campfire
2007,HIGHWAY,2007-05-30,2,34.533073425293004,139750.38394549,Equipment Use
2007,SONOMA,2007-08-31,2,13.873017311096199,56142.108795810804,Equipment Use
2007,GRADE 2,2007-07-11,14,59.8039016723633,242017.810644168,Unknown/Unidentified
2007,ARMSTRONG,2007-06-27,7,24.2503871917725,98137.8380324436,Arson
2007,CLARK,2007-07-28,10,46.9912910461426,190167.013879367,Vehicle
2007,AUBURN,2007-06-23,7,20.990444183349602,84945.31422376049,Arson
2007,PRAIRIE,2007-06-28,7,72.2304458618164,292306.248086435,Arson
2007,GARDEN,2007-10-07,2,146.032699584961,590973.398067976,Equipment Use
2007,PHILLIPS,2007-07-16,2,935.631958007812,3786368.23438051,Equipment Use
2007,SOUTH BEALE,2007-10-23,6,194.88526916503898,788672.7113247309,Railroad
2007,SPENCEVILLE,2007-08-15,14,31.350093841552702,126869.325137385,Unknown/Unidentified
2007,VALLEY,2007-07-06,7,69.97616577148439,283183.498164189,Arson
2007,LOMA RICA /  LA PORTE,2007-08-07,7,10.325691223144501,41786.5883392948,Arson
2007,WALDO 2,2007-09-07,7,38.748405456543004,156809.23399137802,Arson
2007,WALDO,2007-06-22,2,16.1933670043945,65532.2334976767,Equipment Use
2007,WASHOE,2007-08-18,9,19.8133392333984,80181.7353303313,Miscellaneous
2007,WILSON,2007-04-09,5,10.571572303772,42781.634991151404,Debris
2007,BASELINE,2007-09-24,14,13.9768753051758,56562.4087817481,Unknown/Unidentified
2007,ALESSANDRO,2007-03-04,14,860.08740234375,3480650.15682004,Unknown/Unidentified
2007,STRAW,2007-12-03,14,42.576930999755895,172302.731766993,Unknown/Unidentified
2007,SIERRA,2007-03-11,14,777.514038085938,3146487.71994977,Unknown/Unidentified
2007,LICK,2007-09-03,5,47748.2734375,193230406.132307,Debris
2007,STEVENS,2007-08-30,11,166.154968261719,672405.30613799,Power Line
2007,POWER,2007-07-10,14,919.199462890625,3719868.35561592,Unknown/Unidentified
2007,HATCHET,2007-08-13,2,11.326786041259801,45837.876434316604,Equipment Use
2007,SILVER,2007-06-17,2,110.625015258789,447683.561817396,Equipment Use
2007,CLEAR,2007-06-29,7,176.671188354492,714962.953338556,Arson
2007,WEED,2007-08-06,4,53.9668121337891,218395.934953914,Campfire
2007,SECERT,2007-07-11,1,210.911056518555,853526.741661009,Lightning
2007,BEAR,2007-08-13,2,840.837158203125,3402747.15478559,Equipment Use
2007,FALL,2007-06-13,5,14.3759860992432,58177.5533119519,Debris
2007,BRAZIE,2007-01-25,5,5.7481575012207005,23261.9675772471,Debris
2007,GIRARD,2007-10-23,5,13.8954305648804,56232.812460402696,Debris
2007,OKLAHOMA,2007-07-12,1,30.4129333496094,123076.777868264,Lightning
2007,REYNOLDS,2007-07-27,2,16.6748943328857,67480.9014663379,Equipment Use
2007,RYAN,2007-01-15,5,15.0148420333862,60762.9096916911,Debris
2007,ODONOVAN,2007-05-07,2,45.8556594848633,185571.26973260602,Equipment Use
2007,CUESTA,2007-05-10,2,44.7115287780762,180941.13360982,Equipment Use
2007,BITTER,2007-05-22,14,26.0763759613037,105527.348548811,Unknown/Unidentified
2007,CAL POLY,2007-06-30,8,45.7197341918945,185021.199074228,Playing with Fire
2007,JOHNSON,2007-08-01,11,13.125205993652301,53115.8225099323,Power Line
2007,ADELADIA,2007-08-01,2,16.1821308135986,65486.7565085871,Equipment Use
2007,CUESTA 2,2007-08-19,2,16.5451831817627,66955.9795573586,Equipment Use
2007,RANCH,2007-08-23,14,12.779738426208501,51717.7684096935,Unknown/Unidentified
2007,POZO,2007-08-30,1,19.9712066650391,80820.6066475334,Lightning
2007,MORRO,2007-09-12,11,12.736194610595698,51541.552449227005,Power Line
2007,POLY / A-4 7,2007-09-10,14,55.687282562255895,225358.431832955,Unknown/Unidentified
2007,GRADE,2007-12-03,2,97.1312484741211,393076.224214839,Equipment Use
2007,DIABLO,2007-01-16,15,332.362670898438,1345023.96520272,Structure
2007,MURRAY,2007-05-25,5,102.867218017578,416288.86468061,Debris
2007,DUNTON,2007-06-04,2,208.236633300781,842703.767631543,Equipment Use
2007,SHELL,2007-07-02,14,101.422554016113,410442.50074002706,Unknown/Unidentified
2007,GASSNER,2007-07-21,14,228.982635498047,926659.874870062,Unknown/Unidentified
2007,GOLDEN,2007-08-16,10,65.6298828125,265594.720664212,Vehicle
2007,ORVIS,2007-08-16,10,534.983154296875,2165000.0808865,Vehicle
2007,ITALIAN,2007-08-22,14,102.280258178711,413913.532709386,Unknown/Unidentified
2007,SHELLEY,2007-09-15,2,103.75456237793001,419879.817724355,Equipment Use
2007,"CONNER, W",2007-06-28,2,456.799255371094,1848600.9507831002,Equipment Use
2007,DYE,2007-06-13,4,386.44869995117205,1563902.35089042,Campfire
2007,LYMAN,2007-11-07,14,18.7599048614502,75918.6394923617,Unknown/Unidentified
2007,HORSE,2007-05-28,7,434.78903198242205,1759528.75074778,Arson
2007,SHANNON,2007-06-03,2,2140.99926757812,8664316.71908333,Equipment Use
2007,BACKSCATTER,2007-07-10,1,68.5170135498047,277278.523163444,Lightning
2007,BARTLETT 2,2007-09-11,9,36.440788269043004,147470.636064714,Miscellaneous
2007,BEAR,2007-07-11,1,9.873552322387699,39956.848134768705,Lightning
2007,BERNASCONI,2007-04-12,4,50.2272148132324,203262.333679675,Campfire
2007,BLACK,2007-07-10,1,74.3804397583008,301006.969799607,Lightning
2007,BOLLI,2007-05-01,5,728.8432006835941,2949523.78377819,Debris
2007,BUCKWEED,2007-10-21,8,38347.47265625,155186722.594586,Playing with Fire
2007,CALPINE,2007-06-23,5,45.8110237121582,185390.635399809,Debris
2007,CHIPMUNK,2007-08-30,1,8.33889675140381,33746.318674114,Lightning
2007,CLEAR,2007-07-10,1,37.960296630859396,153619.87188335802,Lightning
2007,SLIDES,2007-06-19,9,11.9409761428833,48323.4146379863,Miscellaneous
2007,SNOW,2007-08-20,1,100.15796661376999,405324.910580576,Lightning
2007,SOURCE,2007-08-26,1,12.5743312835693,50886.5136567875,Lightning
2007,SUGARLAOF,2007-08-29,1,102.34708404541,414183.96070913103,Lightning
2007,TRIMMER,2007-05-25,9,193.510955810547,783111.084410506,Miscellaneous
2007,TURN,2007-07-25,2,8.83071899414062,35736.6514062437,Equipment Use
2007,VANN,2007-07-13,9,55.8262405395508,225920.774549733,Miscellaneous
2007,VISTA,2007-08-22,4,420.31787109375,1700966.03761696,Campfire
2007,WALLOW,2007-08-29,2,1438.38586425781,5820941.06352886,Equipment Use
2007,WITCH,2007-10-21,9,162070.46875,655875906.4708179,Miscellaneous
2007,ZACA,2007-07-04,2,240358.703125,972697148.203524,Equipment Use
2007,BABCOCK PEAK,2007-07-05,1,406.54782104492205,1645240.63334255,Lightning
2007,CAPRA,2007-07-15,2,20.4175415039062,82626.8593903523,Equipment Use
